C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0001.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0002.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0003.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0004.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0005.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0006.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0007.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0008.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0009.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0010.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0011.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0012.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0013.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0014.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0015.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0016.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0017.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0018.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0019.wav|This is a neutral speech.|Neutral
C:\Users\vpved\Documents\GitHub\Finetune-tts-emotional\processed_data\Neutral\Neutral_1-28_0020.wav|This is a neutral speech.|Neutral
